updateTime,COLUMN_1,taskCode
2019-07-07 00:16:08,担保圈链视图相关问题,task002
2019-07-07 00:16:08,标签管理相关问题,task002
2019-07-07 00:16:08,预警信号解除申请，新增后，处理逻辑有误。,task002
2019-07-07 00:16:08,]处置审批，处置详情页面，展示不正确。,task002
2019-07-07 00:16:08,处置审批，审核意见页面，附件列表存在删除按钮；点击删除时，提示“无删除该文件权限!!!”，是三个英文叹号。,task002
2019-07-07 00:16:08,查看处置详情，页面展示不全，需要手工拉大；且附件可删除。,task002
2019-07-07 00:16:08,处置方案页面，保存并提交时，提示有误。,task002
2019-07-07 00:16:08,流程中，信号列表的展示问题。,task002
2019-07-07 00:16:08,我的预警页面，相关问题,task002
2019-07-07 00:16:08,信号发布成功后，预警信号查询页面中，信号核查情况和信号状态逻辑不正确，信号名称为空。,task002
2019-07-07 00:16:08,信号发布助手，页面样式问题,task002
2019-07-07 00:16:08,信号发布助手，再次点击的时候就打不开页面,task002
2019-07-07 00:16:08,新增解除信号时，选择客户，客户视图放大镜，重置按钮无效。,task002
2019-07-07 00:16:08,对于不可编辑的文本框，选中后，点击enter键，系统页面直接跳转至登录页面或浏览器首页面,task002
2019-07-07 00:16:08,自定义模型，修改模型保存错误,task002
2019-07-07 00:16:08,模型管理-自定义模型,task002
2019-07-07 00:16:08,预警信号解除后，预警信号状态未改变且信号变成重复两条,task002
2019-07-07 00:16:08,我的助手-单一信号发布时没有生成信号名称,task002
2019-07-07 00:16:08,预警解除功能按照信号解除实现与需求不符，且已处置信号无自动发起解除流程，需按照3.1新需求重新设计，下一阶段完成,task002
2019-07-07 00:16:08,全景视窗整体数据权限不健全，详情页面中的列表缺失数据权限（尤其集团下）,task002
2019-07-07 00:16:11,集团客户的预警信息未做筛选,task002
2019-07-07 00:16:11,界面弹出框中，不可编辑框样式优化，区分可编辑和不可编辑框，最好是与label背景样式相同,task002
2019-07-07 00:16:11,对公客户标签，客户素描，展示页面，客户信息字体需要优化，图中应展示标签内容，鼠标悬浮标签内容，可查看标签描述，需要调整报表样式,task002
2019-07-07 00:16:11,预警解除相关问题1,task002
2019-07-07 00:16:11,预警处置相关问题2,task002
2019-07-07 00:16:11,预警处置相关问题1,task002
2019-07-07 00:16:11,单一信号发布选择模型,task002
2019-07-07 00:16:11,客户素描展示问题,task002
2019-07-07 00:16:11,预警信息查询-组合预警查询相关问题,task002
2019-07-07 00:16:11,客户找关系图谱展示问题,task002
2019-07-07 00:16:11,关联关系图谱展示问题2,task002
2019-07-07 00:16:11,关联关系图谱展示问题,task002
2019-07-07 00:16:11,预警信息查询页面，查询条件-一级主题展示内容与模型管理主题树不一致。,task002
2019-07-07 00:16:11,模型管理缺少模型测试功能,task002
2019-07-07 00:16:11,菜单优化,task002
2019-07-07 00:16:11,模型管理-模型信息管理,task002
2019-07-07 00:16:11,批量信号发布,task002
2019-07-07 00:16:11,预警任务不能正确提交,task002
2019-07-07 00:16:11,预警信息查询展示页面与需求存在差异,task002
2019-07-07 00:16:11,我的预警-预警信号解除逻辑调整,task002
2019-07-07 00:16:17,对公客户详细信息页面优化,task002
2019-07-07 00:16:17,对公客户查询页面查询结果不正确，取消关注按钮不起作用，页面需优化,task002
2019-07-07 00:16:17,个人客户全景视窗查询结果不正确及界面优化调整,task002
2019-07-07 00:16:17,我的关注-更多-查询不起作用,task002
2019-07-07 00:16:17,搜索栏功能不可用,task002
2019-07-07 00:16:17,备忘录功能相关问题,task002
2019-07-07 00:16:17,系统管理-流程管理-流程定义管理,task002
2019-07-07 00:16:17,担保圈标签管理，缺少查看功能。,task002
